FeatureID,FeatureName,B-Cells Average,B-Cells Log2 Fold Change,B-Cells P-Value
ENSGACG00000008262,fance,14.410801305808025,0.7169331844445064,0.09537737849574739
ENSGACG00000004055,rpl6,13.301988665056456,0.7081088758170551,0.1013810278691209
ENSGACG00000004372,rpl22,9.283605896601388,0.7056656454311057,0.10314589535704968
ENSGACG00000016153,rpl9,17.02896285786569,0.6931044440769627,0.11235180530967116
ENSGACG00000014635,rpl27,19.299119953883494,0.690489688896283,0.11433382457550781
ENSGACG00000014559,rpl3,10.699556553161493,0.6779141421568795,0.12418640635383202
ENSGACG00000003288,rpl38,5.444719371151309,0.6774701808982724,0.12444437124112037
ENSGACG00000012539,rpl22l1,2.0916392392430323,0.656703483317486,0.14264282986166835
ENSGACG00000007041,rpl29,7.9152951234048725,0.6541998182430335,0.14435823053773628
ENSGACG00000015892,nsa2,1.8420002295794913,0.6441958607562202,0.15367361026378093
augustus_masked-chrY-processed-gene-6.13,augustus_masked-chrY-processed-gene-6.13,2.5974649202646365,0.6436155982294787,0.15416678234575085
maker-chrY-augustus-gene-46.49,maker-chrY-augustus-gene-46.49,2.2451706169076764,0.6434374567951677,0.15427765043871244
ENSGACG00000017861,rps6,13.928908457187086,0.64306606616152,0.15431215368251863
ENSGACG00000009310,rpl13a,22.82138564313987,0.639938406587802,0.15704172157288196
ENSGACG00000002699,ENSGACG00000002699,15.480327976392463,0.6395971309976005,0.1571969315228441
ENSGACG00000006523,RPL27A,12.48601454905642,0.6380154960052136,0.15836432500638017
ENSGACG00000015245,naca,8.967511883762416,0.6185016399183216,0.17759838232414962
ENSGACG00000011913,rps7,19.769723730617326,0.6024841137488544,0.19504015192939708
ENSGACG00000002088,rpl36,11.979662044680085,0.6020157205419951,0.19557884750010734
ENSGACG00000003895,rps23,14.490426892851747,0.5926004255449402,0.20480291806587206
ENSGACG00000009280,ENSGACG00000009280,7.959096722326844,0.5891870130594081,0.20887276106267555
ENSGACG00000007990,RPS17,3.2000755775983643,0.5814646738473932,0.21791849008828543
ENSGACG00000017702,eef1g,7.726090278576973,0.5761987661168813,0.22446553766752408
ENSGACG00000018439,rpl26,16.02679431620765,0.5678907680414467,0.234654145167756
ENSGACG00000017491,rpl12,14.947107480924815,0.5679830052590407,0.23465706182452054
ENSGACG00000012791,faua,14.333433533141724,0.566974417031946,0.23590090902771593
ENSGACG00000012858,rps29,6.937736758460725,0.5650585727231272,0.23823536522624839
ENSGACG00000000825,PDCL3,2.4437830216414977,0.562981132074003,0.24119930391886782
ENSGACG00000007961,rpl15,8.72171115854049,0.5599340591748629,0.24510175278192273
ENSGACG00000010761,rps9,17.60003937439477,0.5571549208080837,0.2489418996200646
ENSGACG00000006818,rps25,17.875041165564674,0.5552831114026953,0.2514094209083924
ENSGACG00000003336,ENSGACG00000003336,17.283117496284074,0.54465405174582,0.26587316058730587
ENSGACG00000010916,rps12,14.643657228599402,0.540982537177928,0.2700980793467022
ENSGACG00000000741,rps26,13.090807760288323,0.540102246632236,0.27100237436591335
ENSGACG00000016489,rps8a,16.340555254189955,0.5347030013738423,0.2777740608112602
ENSGACG00000003574,rpl35,14.435336222042668,0.524817610842081,0.2917224226969544
ENSGACG00000001940,RPS20,17.146971289325574,0.5248156287277226,0.2917224226969544
ENSGACG00000015402,eef1b2,7.196105983716961,0.5236349499122102,0.2934711948894611
ENSGACG00000017191,eef1da,2.014948810889958,0.5180007179351154,0.3023039344038417
ENSGACG00000010457,ENSGACG00000010457,2.2946167517732015,0.511931135633825,0.3100709372659367
ENSGACG00000006058,rsl24d1,2.4157861233614746,0.508809932150509,0.3148906410858012
ENSGACG00000020692,ENSGACG00000020692,10.668549235711573,0.5055933848073919,0.31958514617730993
ENSGACG00000008265,rpl14,11.407832923358534,0.5015240052670475,0.32544866103900827
ENSGACG00000007282,cxcr4a,5.406035484818159,0.45775507879447863,0.38505502287027926
ENSGACG00000002835,rps5,15.592541350950299,0.4545514630529772,0.39055776457702956
ENSGACG00000020009,rps16,10.542186891055232,0.44715842974700193,0.4034138874189516
ENSGACG00000003476,rps19,13.916942040986752,0.44468307376952776,0.4074079329835252
ENSGACG00000008021,uba52,10.995405497082922,0.42298504084553645,0.44343466056226366
ENSGACG00000018720,rps4x,6.736490236953245,0.413764951903989,0.46003530204004095
ENSGACG00000020625,rpl23a,12.735954600636951,0.3953598768576114,0.4928929178662122
ENSGACG00000003250,rpl24,5.659286997485574,0.39415456986284214,0.4950094433228254
ENSGACG00000000151,ENSGACG00000000151,1.1960395361992757,0.3895847337074353,0.503617127267476
ENSGACG00000006018,rpsa,14.573514461940848,0.36287754999930577,0.5537532520088005
ENSGACG00000015549,rps15,2.891131310287892,0.3514156594583573,0.568326253457882
ENSGACG00000003628,rpl30,12.553071636065832,0.2868520384847417,0.6859059515328366
ENSGACG00000005380,eif3ea,1.2086832967128347,0.26868720038246274,0.7176721700781221
ENSGACG00000019847,cct7,1.342571689293914,0.26295880501451585,0.7284427687889364
ENSGACG00000004968,rpl4,2.1714153472452495,0.2618662250266943,0.7302904724305789
ENSGACG00000008496,rplp0,9.712289586394434,0.23161619567525094,0.7856922346275697
ENSGACG00000013073,rpl10,10.168593872071265,0.23150604351656723,0.7856922346275697
ENSGACG00000015499,rplp2l,6.242856753569716,0.21210737610081232,0.8211054823798972
ENSGACG00000012793,ENSGACG00000012793,3.3967312098717537,0.20902208285936275,0.8269551408797611
maker-chrY-augustus-gene-11.16,maker-chrY-augustus-gene-11.16,2.327430320725057,0.18820182996942503,0.8635872949057469
ENSGACG00000006703,rps13,8.338334277254365,0.18374953828405172,0.8716308111367715
ENSGACG00000014467,serbp1a,1.876093226678552,0.14205337063120993,0.9412283860191627
ENSGACG00000017667,eif3f,1.2729557459900924,0.1260752925744304,0.9648943910378919
ENSGACG00000019282,ENSGACG00000019282,9.924298356434287,0.1145482683003669,0.9826152596762481
ENSGACG00000002182,ENSGACG00000002182,16.7463597582918,0.11253839275192146,0.9862808113611643
ENSGACG00000005189,rplp2,9.399281253204602,0.044564965943613366,1
ENSGACG00000006059,RPL19,5.071352133605084,0.06663825488124653,1
ENSGACG00000008253,ENSGACG00000008253,1.3232297461273388,0.05327987103648557,1
ENSGACG00000009225,ENSGACG00000009225,2.1272374459270407,0.053516462273644816,1
ENSGACG00000013304,ENSGACG00000013304,2.793292687266305,0.10081078187926762,1
ENSGACG00000006855,tpt1,4.466107359497698,0.02201844160244315,1
ENSGACG00000013530,hsp90ab1,8.141227082105491,0.054434079623052245,1
